"","avg_load","Max Load","Average Net Load","Max Net Load","Data Center Load Avg","Data Center Load Max","Mid Atlantic Load Average","Mid Atlantic Load Max","Generation Outages","DA_LMP","RT LMP","Solar Forecast","Wind Forecast","Henry (GASPRICE) Average","TETCO-M3 (GASPRICE) Average","is weekend?","Season","DA/L-AVG","DA/L-Max","DA/NL-Avg","DA/NL-max","DA/Dom-Avg","DA/Dom-max","DA/MidA-Avg","DA/Mid-Anax","Outage/L-Avg","Outage/L-Max","GasBlend","BlendHR","BlendHR/Load","GB/NLA","time","load_lag1","load_lag2","load_slide3","load_slide7","load_slide14","load_slide30","pred_load"
"1",82668.375,90918,79942.355812,85115.19,17797.5625,19896,27831.9375,31529,23474,NA,22.831026,NA,1727.224813,3.55,3.05,TRUE,1,0.000352860401574363,0.000320842913394487,0.00036489287441816,0.000342716687820353,0.00163901073531839,0.00146614374748693,0.00104809074107758,0.000925192552887818,0.28430666982386,0.25843981418421,3.3,8.83951393939394,0.000106927394416474,0.000110573598308533,2023-01-01,NA,NA,NA,NA,NA,NA,NA
"2",82646.0625,90866,79167.85464,83548.374,18293.8125,20288,28303.1875,31993,23799,28.427232,33.590915,NA,2612.360063,3.55,3.05,FALSE,1,0.000343963537282856,0.00031284784187705,0.00035907543698471,0.000340248776116217,0.00155392606106573,0.00140118454258675,0.00100438270424488,0.000888545369299534,0.288306865581164,0.262282822122686,3.3,8.61431272727273,0.000104231374934199,0.000108810738480215,2023-01-02,82668.375,NA,NA,NA,NA,NA,82668.375
"3",87683.4375,94091,82271.075156,87322.402,18745.875,20391,29939.125,32379,26717,33.068943,35.523192,NA,4917.756875,3.55,2.5,FALSE,1,0.000377140129799314,0.000351457025645386,0.000401951025160369,0.000378699420109859,0.00176406505431195,0.00162174209209946,0.00110453939452138,0.00102130834800334,0.305075504629936,0.284326058730378,3.025,10.9318819834711,0.000124674423074153,0.000132876371953841,2023-01-03,82646.0625,82668.375,NA,NA,NA,NA,82657.21875
"4",88266.625,94556,83076.549917,87791.083,18814.6875,20591,29750.1875,32323,30742,38.87094,43.597919,NA,4771.991875,3.65,2.51,FALSE,1,0.000440380948065025,0.000411089090063031,0.000467893046098269,0.00044276637981559,0.00206598913747571,0.00188776358603273,0.0013065779837522,0.00120257834978189,0.348726043847264,0.325580586308643,3.08,12.6204350649351,0.000142980827293839,0.000151913326655282,2023-01-04,87683.4375,82646.0625,NA,NA,NA,NA,85164.75
"5",90014.4375,96102,84403.45338,88419.189,18601.6875,20320,29160.3125,31730,29688,42.501943,35.070915,NA,4792.592938,3.81,3.2,FALSE,1,0.000472168067483619,0.000442258673076523,0.000503556919746499,0.000480686867643629,0.00228484340466423,0.00209163105314961,0.00145752700695509,0.00133948764576111,0.330285927110304,0.309286704907286,3.505,12.1260893009986,0.000134712715401888,0.000143668165405563,2023-01-05,88266.625,87683.4375,84332.625,NA,NA,NA,86760.8958333333
"6",96934.6875,103766,94098.712203,98749.995,20340.5625,22254,31408.6875,34638,31754,43.628896,50.659556,NA,1905.904625,3.76,2.95,FALSE,1,0.000450085486684011,0.000420454638320837,0.000463650298485265,0.0004418116274335,0.00214492082015923,0.00196049680956233,0.00138907096961629,0.00125956741151337,0.328031478886235,0.306503667444057,3.355,13.0041418777943,0.000134153647297768,0.000138196810278767,2023-01-06,90014.4375,88266.625,86198.7083333333,NA,NA,NA,88159.9236111111
"7",92955.9375,98780,90474.312875,94122.696,20729.625,22135,30627.875,33356,31194,43.153271,37.676427,NA,1473.6495,3.42,2.95,TRUE,1,0.000464233616061373,0.000436862431666329,0.00047696710401792,0.000458478909273912,0.00208171980921025,0.00194954917551389,0.0014089541308367,0.00129371840148699,0.336042582228811,0.316174088145374,3.185,13.5489076923077,0.000145756237381907,0.000149754192784276,2023-01-07,96934.6875,90014.4375,88654.8333333333,NA,NA,NA,91867.9861111111
"8",94330,101632,93139.778151,98793.179,21892.375,23456,31579.6875,34963,28565,44.040368,36.637277,NA,731.25225,3.42,2.95,TRUE,1,0.000466875522103255,0.000433331706549118,0.000472841667376541,0.00044578348875685,0.00201167612011031,0.00187757366984993,0.00139457896788877,0.00125962783514001,0.303286763150641,0.28142354058761,3.185,13.8274310832025,0.000146585721225512,0.000148458922253231,2023-01-08,92955.9375,96934.6875,91738.5833333333,NA,NA,NA,93876.4027777778
"9",100784.5625,106374,95315.606277,96449.836,21969,23266,33903.375,36661,28377,44.156229,40.841736,NA,4186.456375,3.42,2.94,FALSE,1,0.000438124926126459,0.000415103587342772,0.000463263370236308,0.000457815490738626,0.0020099334972006,0.00189788657268117,0.00130241396321163,0.00120444693270778,0.281999103076922,0.267150259800327,3.18,13.8856066037736,0.000137775134002031,0.000145680305105757,2023-01-09,94330,92955.9375,93301.6875,88738.5089285714,NA,NA,92331.5334821429
"10",100218.0625,106310,98458.245713,101346.384,22201.3125,25607,33829.5,36335,28684,55.790274,91.660412,NA,964.104563,3.67,3.84,FALSE,1,0.000556688810462685,0.000524788580566268,0.000566638919838419,0.000550491017025334,0.00251292683709578,0.00217871183660718,0.00164916046645679,0.00153544169533508,0.286772559327816,0.270676892220863,3.755,14.8575962716378,0.000148252679217759,0.000150902508612096,2023-01-10,100784.5625,94330,94740.2083333333,90404.4553571429,NA,NA,95064.806547619
